Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,Resource,Role
2,Create Purchase Requisition,Immanuel Karagianni-Requester,2011-01-01 00:16:00.000,2011-01-01 00:29:00.000,Variant 3,3,Immanuel Karagianni,Requester
2,Create Request for Quotation,Alberto Duport-Requester,2011-01-01 08:16:00.000,2011-01-01 08:26:00.000,Variant 3,3,Alberto Duport,Requester
2,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-01 09:34:00.000,2011-01-01 09:38:00.000,Variant 3,3,Karel de Groot,Purchasing Agent
2,Amend Request for Quotation,Christian Francois-Requester,2011-01-01 10:16:00.000,2011-01-01 10:21:00.000,Variant 3,3,Christian Francois,Requester
2,Analyze Request for Quotation,Magdalena Predutta-Purchasing Agent,2011-01-01 11:15:00.000,2011-01-01 11:48:00.000,Variant 3,3,Magdalena Predutta,Purchasing Agent
2,Amend Request for Quotation,Esmana Liubiata-Requester,2011-01-01 12:33:00.000,2011-01-01 12:39:00.000,Variant 3,3,Esmana Liubiata,Requester
2,Analyze Request for Quotation,Karel de Groot-Purchasing Agent,2011-01-01 13:28:00.000,2011-01-01 13:38:00.000,Variant 3,3,Karel de Groot,Purchasing Agent
2,Send Request for Quotation to Supplier,Francois de Perrier-Purchasing Agent,2011-01-01 15:18:00.000,2011-01-01 15:40:00.000,Variant 3,3,Francois de Perrier,Purchasing Agent
2,Create Quotation comparison Map,Karel de Groot-Purchasing Agent,2011-01-01 15:55:00.000,2011-01-01 16:43:00.000,Variant 3,3,Karel de Groot,Purchasing Agent
2,Analyze Quotation Comparison Map,Esmana Liubiata-Requester,2011-01-01 23:33:00.000,2011-01-01 23:44:00.000,Variant 3,3,Esmana Liubiata,Requester
2,Choose best option,Fjodor Kowalski-Requester,2011-01-01 23:44:00.000,2011-01-01 23:44:00.000,Variant 3,3,Fjodor Kowalski,Requester
2,Settle Conditions With Supplier,Magdalena Predutta-Purchasing Agent,2011-01-02 02:15:00.000,2011-01-02 15:07:00.000,Variant 3,3,Magdalena Predutta,Purchasing Agent
2,Create Purchase Order,Magdalena Predutta-Purchasing Agent,2011-01-02 16:21:00.000,2011-01-02 16:31:00.000,Variant 3,3,Magdalena Predutta,Purchasing Agent
2,Confirm Purchase Order,Esmeralda Clay-Supplier,2011-01-02 20:23:00.000,2011-01-02 20:29:00.000,Variant 3,3,Esmeralda Clay,Supplier
2,Deliver Goods Services,Esmeralda Clay-Supplier,2011-01-03 03:15:00.000,2011-01-04 14:53:00.000,Variant 3,3,Esmeralda Clay,Supplier
2,Release Purchase Order,Elvira Lores-Requester,2011-01-04 23:01:00.000,2011-01-04 23:02:00.000,Variant 3,3,Elvira Lores,Requester
2,Approve Purchase Order for payment,Karel de Groot-Purchasing Agent,2011-01-05 09:03:00.000,2011-01-05 09:04:00.000,Variant 3,3,Karel de Groot,Purchasing Agent
2,Send Invoice,Esmeralda Clay-Supplier,2011-01-05 14:50:00.000,2011-01-05 14:50:00.000,Variant 3,3,Esmeralda Clay,Supplier
2,Release Supplier's Invoice,Pedro Alvares-Financial Manager,2011-01-06 05:04:00.000,2011-01-06 05:07:00.000,Variant 3,3,Pedro Alvares,Financial Manager
2,Settle Dispute With Supplier,Karalda Nimwada-Financial Manager,2011-01-06 05:38:00.000,2011-01-06 05:58:00.000,Variant 3,3,Karalda Nimwada,Financial Manager
2,Authorize Supplier's Invoice payment,Pedro Alvares-Financial Manager,2011-01-06 05:58:00.000,2011-01-06 05:58:00.000,Variant 3,3,Pedro Alvares,Financial Manager
2,Pay Invoice,Karalda Nimwada-Financial Manager,2011-01-06 06:21:00.000,2011-01-06 06:32:00.000,Variant 3,3,Karalda Nimwada,Financial Manager
4,Create Purchase Requisition,Fjodor Kowalski-Requester,2011-01-01 08:39:00.000,2011-01-01 09:00:00.000,Variant 20,20,Fjodor Kowalski,Requester
4,Analyze Purchase Requisition,Maris Freeman-Requester Manager,2011-01-01 18:45:00.000,2011-01-01 18:51:00.000,Variant 20,20,Maris Freeman,Requester Manager
4,Create Request for Quotation,Heinz Gutschmidt-Requester Manager,2011-01-01 18:56:00.000,2011-01-01 18:58:00.000,Variant 20,20,Heinz Gutschmidt,Requester Manager
4,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-01 19:58:00.000,2011-01-01 20:19:00.000,Variant 20,20,Francois de Perrier,Purchasing Agent
4,Amend Request for Quotation,Nico Ojenbeer-Requester,2011-01-01 21:06:00.000,2011-01-01 21:14:00.000,Variant 20,20,Nico Ojenbeer,Requester
4,Analyze Request for Quotation,Francois de Perrier-Purchasing Agent,2011-01-01 22:01:00.000,2011-01-01 22:24:00.000,Variant 20,20,Francois de Perrier,Purchasing Agent
